distance,cash_fare_per_ride,adult_card_fare_per_ride,senior_citizen_card_fare_per_ride,student_card_fare_per_ride,workfare_transport_concession_card_fare_per_ride,persons_with_disabilities_card_fare_per_ride
Up to 3.2 km,250,152,104,72,118,104
3.3 km - 4.2 km,250,162,111,77,126,111
4.3 km - 5.2 km,250,172,118,82,134,118
5.3 km - 6.2 km,250,182,125,87,142,125
6.3 km - 7.2 km,250,191,131,90,149,131
7.3 km - 8.2 km,250,198,137,93,155,137
8.3 km - 9.2 km,265,204,137,93,161,137
9.3 km - 10.2 km,265,208,137,93,164,137
10.3 km - 11.2 km,265,212,137,93,167,137
11.3 km - 12.2 km,280,216,137,93,170,137
12.3 km - 13.2 km,280,220,137,93,173,137
13.3 km - 14.2 km,280,224,137,93,176,137
14.3 km - 15.2 km,280,228,137,93,179,137
15.3 km - 16.2 km,295,232,137,93,182,137
16.3 km - 17.2 km,295,236,137,93,185,137
17.3 km - 18.2 km,295,240,137,93,188,137
18.3 km - 19.2 km,295,244,137,93,191,137
19.3 km - 20.2 km,310,247,137,93,194,137
20.3 km - 21.2 km,310,250,137,93,197,137
21.3 km - 22.2 km,310,253,137,93,200,137
22.3 km - 23.2 km,310,256,137,93,203,137
23.3 km - 24.2 km,330,258,137,93,205,137
24.3 km - 25.2 km,330,260,137,93,206,137
25.3 km - 26.2 km,330,262,137,93,207,137
26.3 km - 27.2 km,330,263,137,93,208,137
27.3 km - 28.2 km,330,264,137,93,209,137
28.3 km - 29.2 km,330,265,137,93,210,137
29.3 km - 30.2 km,330,266,137,93,211,137
30.3 km - 31.2 km,330,267,137,93,212,137
31.3 km - 32.2 km,330,268,137,93,213,137
32.3 km - 33.2 km,330,269,137,93,214,137
33.3 km - 34.2 km,330,270,137,93,215,137
34.3 km - 35.2 km,330,271,137,93,216,137
35.3 km - 36.2 km,330,272,137,93,217,137
36.3 km - 37.2 km,330,273,137,93,218,137
37.3 km - 38.2 km,330,274,137,93,219,137
38.3 km - 39.2 km,330,275,137,93,220,137
39.3 km - 40.2 km,330,276,137,93,221,137
Over 40.2 km,330,277,137,93,222,137
